80b22356a6e980e8c8e1baaa4dd0359b4a6df7120fed6495ba13a9ea0e4a0c2b	Each relation means interaction between _DISEASE_ associated with _PROTEIN_.	PMID:31017923	proteins	PR:000000001	[[82..90]]	neurodegenerative disease	MONDO:0005559	[[40..65]]	null	91	Y	Each relation means interaction between neurodegenerative disease associated with proteins.	A context-based ABC model for literature-based discovery.||||||||In the literature-based discovery, considerable research has been done based on the ABC model developed by Swanson. ABC model hypothesizes that there is a meaningful relation between entity A extracted from document set 1 and entity C extracted from document set 2 through B entities that appear commonly in both document sets. The results of ABC model are relations among entity A, B, and C, which is referred as paths. A path allows for hypothesizing the relationship between entity A and entity C, or helps discover entity B as a new evidence for the relationship between entity A and entity C. The co-occurrence based approach of ABC model is a well-known approach to automatic hypothesis generation by creating various paths. However, the co-occurrence based ABC model has a limitation, in that biological context is not considered. It focuses only on matching of B entity which commonly appears in relation between two entities. Therefore, the paths extracted by the co-occurrence based ABC model tend to include a lot of irrelevant paths, meaning that expert verification is essential.||||In order to overcome this limitation of the co-occurrence based ABC model, we propose a context-based approach to connecting one entity relation to another, modifying the ABC model using biological contexts. In this study, we defined four biological context elements: cell, drug, disease, and organism. Based on these biological context, we propose two extended ABC models: a context-based ABC model and a context-assignment-based ABC model. In order to measure the performance of the both proposed models, we examined the relevance of the B entities between the well-known relations "APOE-MAPT" as well as "FUS-TARDBP". Each relation means interaction between neurodegenerative disease associated with proteins. The interaction between APOE and MAPT is known to play a crucial role in Alzheimer's disease as APOE affects tau-mediated neurodegeneration. It has been shown that mutation in FUS and TARDBP are associated with amyotrophic lateral sclerosis(ALS), a motor neuron disease by leading to neuronal cell death. Using these two relations, we compared both of proposed models to co-occurrence based ABC model.||||The precision of B entities by co-occurrence based ABC model was 27.1% for "APOE-MAPT" and 22.1% for "FUS-TARDBP", respectively. In context-based ABC model, precision of extracted B entities was 71.4% for "APOE-MAPT", and 77.9% for "FUS-TARDBP". Context-assignment based ABC model achieved 89% and 97.5% precision for the two relations, respectively. Both proposed models achieved a higher precision than co-occurrence-based ABC model.
1271a0a71b108ad96b064b436536ae85a379119b67a93d49350f4693cbe69295	_DISEASE_ (AxD) is a rare fatal leukodystrophy caused by a dominant missense mutation in the _PROTEIN_.	PMID:31455510	glial fibrillary acidic protein	PR:000007939	[[101..132]]	Alexander disease	MONDO:0008752	[[0..17]]	null	133	Y	Alexander disease (AxD) is a rare fatal leukodystrophy caused by a dominant missense mutation in the glial fibrillary acidic protein.	Inflammatory neuropathology of infantile Alexander disease: A case report.||||||||Alexander disease (AxD) is a rare fatal leukodystrophy caused by a dominant missense mutation in the glial fibrillary acidic protein. In a mouse model of AxD, the pathological astrocyte causes a pronounced immune response. The inflammatory environment in the brain might play an important role in the neuronal dysfunction of AxD.||||A 3-month-old girl diagnosed with infantile AxD presented with severe intractable seizures and a deteriorated neurological state. Steroid pulse therapy was effective at preventing the epileptic activity and progressive white matter abnormalities on magnetic resonance images, but the effect was temporary. Levels of interleukin (IL)-6, IL-8, and macrophage chemotactic protein 1 (MCP-1) in the cerebrospinal fluid were high at onset and reduced transiently after steroid pulse therapy.||||These results suggest that inflammatory responses of astrocyte and microglia can contribute to the neuropathology of AxD. Robust immunomodulation that targets activated astrocytes and microglia may be a novel therapeutic strategy to improve neurological prognosis in AxD.
9b5a73167713702ec55aa6692f68dc0a27d821e548d7a265490046bd4b3a5a98	_DISEASE_ is caused by dominantly acting mutations in glial fibrillary acidic _PROTEIN_ (GFAP), the major intermediate filament of astrocytes in the central nervous system.	PMID:31838996	protein	PR:000000001	[[86..93]]	Alexander disease	MONDO:0008752	[[0..17]]	null	178	Y	Alexander disease is caused by dominantly acting mutations in glial fibrillary acidic protein (GFAP), the major intermediate filament of astrocytes in the central nervous system.	Refining the concept of GFAP toxicity in Alexander disease.||||||||Alexander disease is caused by dominantly acting mutations in glial fibrillary acidic protein (GFAP), the major intermediate filament of astrocytes in the central nervous system.||||In addition to the sequence variants that represent the origin of disease, GFAP accumulation also takes place, together leading to a gain-of-function that has sometimes been referred to as "GFAP toxicity." Whether the nature of GFAP toxicity in patients, who have mixtures of both mutant and normal protein, is the same as that produced by simple GFAP excess, is not yet clear.||||The implications of these questions for the design of effective treatments are discussed.
1c8b7bc4c2e2d380ba0519b3a25570c0dd73a3949c8f2267d87b0df5df033d6c	_DISEASE_ (AKU) is an ultrarare autosomal recessive disorder (MIM 203500) that is caused byby a complex set of mutations in homogentisate 1,2-dioxygenasegene and consequent accumulation of homogentisic acid (HGA), causing a significant _PROTEIN_ oxidation.	PMID:31462106	protein	PR:000000001	[[239..246]]	Alkaptonuria	MONDO:0008753	[[0..12]]	null	257	Y	Alkaptonuria (AKU) is an ultrarare autosomal recessive disorder (MIM 203500) that is caused byby a complex set of mutations in homogentisate 1,2-dioxygenasegene and consequent accumulation of homogentisic acid (HGA), causing a significant protein oxidation.	Interactive alkaptonuria database: investigating clinical data to improve patient care in a rare disease.||||||||Alkaptonuria (AKU) is an ultrarare autosomal recessive disorder (MIM 203500) that is caused byby a complex set of mutations in homogentisate 1,2-dioxygenasegene and consequent accumulation of homogentisic acid (HGA), causing a significant protein oxidation. A secondary form of amyloidosis was identified in AKU and related to high circulating serum amyloid A (SAA) levels, which are linked with inflammation and oxidative stress and might contribute to disease progression and patients' poor quality of life. Recently, we reported that inflammatory markers (SAA and chitotriosidase) and oxidative stress markers (protein thiolation index) might be disease activity markers in AKU. Thanks to an international network, we collected genotypic, phenotypic, and clinical data from more than 200 patients with AKU. These data are currently stored in our AKU database, named ApreciseKUre. In this work, we developed an algorithm able to make predictions about the oxidative status trend of each patient with AKU based on 55 predictors, namely circulating HGA, body mass index, total cholesterol, SAA, and chitotriosidase. Our general aim is to integrate the data of apparently heterogeneous patients with AKUAKU by using specific bioinformatics tools, in order to identify pivotal mechanisms involved in AKU for a preventive, predictive, and personalized medicine approach to AKU.-Cicaloni, V., Spiga, O., Dimitri, G. M., Maiocchi, R., Millucci, L., Giustarini, D., Bernardini, G., Bernini, A., Marzocchi, B., Braconi, D., Santucci, A. Interactive alkaptonuria database: investigating clinical data to improve patient care in a rare disease.
96a2383cc81377c0c11804646d61139d361cb1b16cf92a8f7210edd8337f2e6a	_DISEASE_ is caused by mutations in _PROTEIN_ IV that alter the morphology of renal glomerular basement membrane.	PMID:31197846	collagen	PR:000003262	[[42..50]]	Alport syndrome	MONDO:0018965	[[0..15]]	null	118	Y	Alport syndrome is caused by mutations in collagen IV that alter the morphology of renal glomerular basement membrane.	Two Specific Sulfatide Species Are Dysregulated during Renal Development in a Mouse Model of Alport Syndrome.||||||||Alport syndrome is caused by mutations in collagen IV that alter the morphology of renal glomerular basement membrane. Mutations result in proteinuria, tubulointerstitial fibrosis, and renal failure but the pathogenic mechanisms are not fully understood. Using imaging mass spectrometry, we aimed to determine whether the spatial and/or temporal patterns of renal lipids are perturbed during the development of Alport syndrome in the mouse model. Our results show that most sulfatides are present at similar levels in both the wild-type (WT) and the Alport kidneys, with the exception of two specific sulfatide species, SulfoHex-Cer(d18:2/24:0) and SulfoHex-Cer(d18:2/16:0). In the Alport but not in WT kidneys, the levels of these species mirror the previously described abnormal laminin expression in Alport syndrome. The presence of these sulfatides in renal tubules but not in glomeruli suggests that this specific aberrant lipid pattern may be related to the development of tubulointerstitial fibrosis in Alport disease.
22732c81d9e015afa03a6175fba2d4e38b45067b0e6b61f452d1357572fc1956	Alstr?m syndrome (AS) is a rare monogenic multi-system ciliopathy disorder with cardinal features, including _DISEASE_, sensory neural hearing loss, metabolic dysfunctions and multiple organ failure caused by bi-allelic mutations in a centrosomal basal body protein-coding gene known as _PROTEIN_.	PMID:31669637	ALMS1	PR:000003956	[[296..301]]	cone-rod dystrophy	MONDO:0015993	[[109..127]]	null	302	Y	Alstr?m syndrome (AS) is a rare monogenic multi-system ciliopathy disorder with cardinal features, including cone-rod dystrophy, sensory neural hearing loss, metabolic dysfunctions and multiple organ failure caused by bi-allelic mutations in a centrosomal basal body protein-coding gene known as ALMS1.	Whole exome sequencing identified two homozygous ALMS1 mutations in an Iranian family with Alström syndrome.||||||||Alström syndrome (AS) is a rare monogenic multi-system ciliopathy disorder with cardinal features, including cone-rod dystrophy, sensory neural hearing loss, metabolic dysfunctions and multiple organ failure caused by bi-allelic mutations in a centrosomal basal body protein-coding gene known as ALMS1. This study aimed to identify pathogenic mutations in a consanguineous Iranian family with AS. Next-generation sequencing was performed on the genomic DNA obtained from a 12 years old girl with AS. According to the bioinformatics analysis, computational modelling and segregation of variants, we identified two homozygous mutations close together in exon 8 of ALMS1 in the patient, including c.7262 G > T and c.7303-7305delAG. The clinically normal parents were heterozygous for both mutations. These mutations have a very rare frequency and only reported in the heterozygous state in the public genomic databases. Overall, due to the large size of the ALMS1 gene and clinical similarity with other ciliopathies and genetic disorders, whole exome sequencing can be useful for the identification of pathogenic mutations and the improvement of AS clinical management.
089b9bdd458ca4d655174e62ddfcb6e438dbf523c46d03a69713fc38f3d9b086	_DISEASE_ (ALS8) is a familial form of motor neuron disease, with predominance of lower motor neuron degeneration, and is caused by mutation of the vesicle-associated membrane protein-associated _PROTEIN_ (VAPB).	PMID:31089860	protein B	PR:000009761	[[222..231]]	Amyotrophic lateral sclerosis type 8	MONDO:0012077	[[0..36]]	null	239	Y	Amyotrophic lateral sclerosis type 8 (ALS8) is a familial form of motor neuron disease, with predominance of lower motor neuron degeneration, and is caused by mutation of the vesicle-associated membrane protein-associated protein B (VAPB).	Amyotrophic lateral sclerosis type 8 is not a pure motor disease: evidence from a neuropsychological and behavioural study.||||||||Amyotrophic lateral sclerosis type 8 (ALS8) is a familial form of motor neuron disease, with predominance of lower motor neuron degeneration, and is caused by mutation of the vesicle-associated membrane protein-associated protein B (VAPB). We aimed to compare the cognitive profile of patients with ALS8 and healthy controls (HC), and to screen for behavioural features in ALS8 patients.||||The sample was composed of ALS8 patients (n = 22; 14 men; median age 48 years old; median disease duration 6.5 years) and HC (n = 33; 19 men; median age 48 years old). Patients and HC were matched for sex, age and educational level. Participants underwent behavioural, psychiatric (Hospital Anxiety and Depression Scale and Cambridge Behavioural Inventory-Revised) and neuropsychological assessments, focused on executive functions, visual memory, and facial emotion recognition.||||ALS8 patients exhibited subtle deficits in executive functions. Compared to controls, ALS8 patients were significantly impaired in measures of flexibility and inhibitory control. ALS8 patients and HC did not differ in scores of facial emotion recognition. There was clinically relevant anxiety and depression in 36% and 27% of ALS8 patients, respectively. Behavioural disorders such as stereotypic and motor behaviours were present in more than 30% of patients.||||ALS8 patients present mild executive dysfunction and behavioural changes such as mood disorders, apathy and stereotypic behaviour. Our findings suggest that ALS8 is not a pure motor disorder and it is associated with subtle cognitive and behavioural impairments.
0411b2be77a44d63918411ae41b12a6030ea75548dc340fce3f4275819bc6d59	Angelman syndrome (AS) is a severe neurodevelopmental _DISEASE_ caused by maternal mutation and paternal imprinting of the gene encoding UBE3A, an E3 _PROTEIN_ ligase.	PMID:31445164	ubiquitin	PR:000014271	[[149..158]]	disorder	MONDO:0000001	[[54..62]]	null	166	Y	Angelman syndrome (AS) is a severe neurodevelopmental disorder caused by maternal mutation and paternal imprinting of the gene encoding UBE3A, an E3 ubiquitin ligase.	HAP1 is an in vivo UBE3A target that augments autophagy in a mouse model of Angelman syndrome.||||||||Angelman syndrome (AS) is a severe neurodevelopmental disorder caused by maternal mutation and paternal imprinting of the gene encoding UBE3A, an E3 ubiquitin ligase. Although several potential target proteins of UBE3A have been reported, how these proteins regulate neuronal development remains unclear. We performed a large-scale quantitative proteomic analysis using stable-isotope labeling of amino acids in mammals (SILAM) in mice with maternal Ube3a mutation. We identified huntingtin (Htt)-associated protein (HAP1), a protein that is involved in Huntington's disease (HD), as a new target of UBE3A. We demonstrate that HAP1 regulates autophagy at the initiation stage by promoting PtdIns3K complex formation and enhancing its activity. HAP1 also co-localized with MAP1LC3 (LC3) and other proteins involved in autophagosome expansion. As a result, HAP1 increased autophagy flux. Strikingly, knocking down of HAP1 alleviated aberrant autophagy in primary neurons from AS mice. Concordantly, treatment of AS neurons with an autophagy inhibitor alleviated the reduction in density of dendritic spines. Furthermore, autophagy inhibition in AS mice partially alleviated a social interaction deficit as shown in open field test. Thus, our results identify HAP1 as an in vivo UBE3A target that contributes to deregulated autophagy and synaptic dysfunction in the central nervous system of AS mouse.
481d79f0c9fedd543b8a7f201b361ff243fc5301e7e443df044680b040257602	_DISEASE_ syndrome is a rare autosomal recessive disorder caused by mutations in the _PROTEIN_ and VIPAR genes.	PMID:31463585	VPS33B	PR:000017332	[[126..132]]	Arthrogryposis, renal dysfunction, and cholestasis	MONDO:0017123	[[0..50]]	null	149	Y	Arthrogryposis, renal dysfunction, and cholestasis syndrome is a rare autosomal recessive disorder caused by mutations in the VPS33B and VIPAR genes.	An uncommon case of arthrogryposis, renal dysfunction, and cholestasis (ARC) syndrome and review of the renal involvement: Questions.||||||||Arthrogryposis, renal dysfunction, and cholestasis syndrome is a rare autosomal recessive disorder caused by mutations in the VPS33B and VIPAR genes. Most cases are fatal within the first year of life. Here we describe one of the two oldest patients with arthrogryposis, renal dysfunction, and cholestasis syndrome. This is a 12-year-old Hispanic female, from a non-consanguineous parents, diagnosed with an incomplete phenotype of arthrogryposis, renal dysfunction, and cholestasis syndrome with arthrogryposis and renal tubular dysfunction but without cholestasis. At 11 years of age, she was found to have impaired renal function, nephrotic-range proteinuria, Fanconi syndrome, and distal renal tubular acidosis. She also had hypercalciuria, nephrogenic diabetes insipidus, and small kidneys by renal ultrasound. Genetic analysis using whole exome sequencing showed a mutation and a partial deletion in the VPS33B gene. Further studies showed that the mother has a partial deletion in the VPS33B gene. Her medication regimen includes potassium citrate and enalapril.
0371d52759d46a6ad2b68b672d81184504d8da28073629d1297122b086d90d3c	Allan-Herndon-Dudley syndrome (_DISEASE_) is a severe genetic disease caused by mutations in the monocarboxylate transporter 8 (_PROTEIN_) gene.	PMID:31127274	MCT8	PR:000014950	[[123..127]]	AHDS	MONDO:0010354	[[31..35]]	null	134	Y	Allan-Herndon-Dudley syndrome (AHDS) is a severe genetic disease caused by mutations in the monocarboxylate transporter 8 (MCT8) gene.	Modeling the Biochemical Phenotype of MCT8 Mutations In Vitro: Resolving a Troubling Inconsistency.||||||||Allan-Herndon-Dudley syndrome (AHDS) is a severe genetic disease caused by mutations in the monocarboxylate transporter 8 (MCT8) gene. MCT8 mediates transport of thyroid hormones in and out of cells, which is thought to play a pivotal role for embryonic and postnatal development of the human brain. Disconcertingly, MCT8R271H leads to a severe form of AHDS but shows residual transport activity when expressed in several types of cultured cells. Here we try to determine the mechanism behind the transport function of MCT8R271H found in overexpressing cell systems. Mutations of Arg271 were introduced into human MCT8 and stably transfected into Madin-Darby canine kidney cells and the human-derived cell line JEG1. Radioactive thyroid hormone-uptake experiments were performed to analyze the pH-dependent effect of the mutation on transport activity. Arg271His transports thyroid hormones in and out of cells in a pH-dependent manner. Its transport activity increases below pH 7.3 and is clearly diminished at physiological pH. The Michaelis constant of the mutant is unaltered, whereas the maximum velocity is reduced. The expression of Arg271His in JEG1 cells leads to an almost nonfunctional transporter at physiological pH replicating the human phenotype for this mutant in vitro and demonstrates, again, that mutant MCT8 activity depends on cellular background. The protonation of His271 at acidic pH restores activity of the mutant protein, which is not active in its deprotonated form at physiological pH. Thus, experimental parameters must be controlled carefully when modeling MCT8 deficiency in cells.
7efb84f7b035408a1dad4976bfa5d757338be0a05de9746ad0060013a9e79231	Alpha-1-antitrypsin (A1AT) deficiency is a hereditary _DISEASE_ caused by mutations in the _PROTEIN_ gene and associated with lung emphysema and liver disease.	PMID:31583408	SERPINA1	PR:000014678	[[91..99]]	condition	MONDO:0000001	[[54..63]]	null	158	Y	Alpha-1-antitrypsin (A1AT) deficiency is a hereditary condition caused by mutations in the SERPINA1 gene and associated with lung emphysema and liver disease.	α-1 Antitrypsin Genotype-Phenotype Discrepancy in a 42-Year-Old Man Who Carries the Null-Allele.||||||||Alpha-1-antitrypsin (A1AT) deficiency is a hereditary condition caused by mutations in the SERPINA1 gene and associated with lung emphysema and liver disease. Laboratory testing in suspected A1AT deficiency involves quantifying serum A1AT concentration and identification of specific alleles by genotyping and phenotyping. The aim of this report was to present a case of the null allele carrier with consequent genotype/phenotype/concentration discrepancies and potential misclassification of the Z variant in a 42-year-old white man presenting with symptoms of chronic obstructive pulmonary disease (COPD).||||Serum A1AT concentration was measured using an immunoturbidimetric assay. A1AT phenotype was determined using isoelectric focusing followed with immunofixation (IEF-IF). Genotyping specifically for the S and Z allele was performed by melting curve analysis using real-time PCR and checked by an alternative PCR-RFLP method. Genotype/phenotype ambiguity and discrepancy were amended using gene sequencing.||||Laboratory testing revealed highly reduced A1AT concentration (less than 0.30 g/L), mild to moderate deficient genotype (Pi*Z allele: M/Z and Pi*S allele: M/M) and severe deficient Z homozygous phenotype (Pi ZZ). After repeated sampling, the same discordant results were verified by these tests. Further sequencing revealed two clinically relevant and defective variants: rs199422210 (a rare null allele) and rs28929474 (the Z allele).||||Due to inability of genotyping kit probes to detect null/Z allele combination (which mimics the Pi ZZ phenotype), our patient was misclassified as mild to moderate deficient Pi*MZ heterozygote. In all unclear cases, whole-gene sequencing is highly recommended in order to determine definitive cause of A1AT deficiency.
472328863925581c766cabf94fc0b6d29e8b956ae1b6007b25bade4637beddd6	_DISEASE_ (SCAR10) caused by a homozygous c.132dupA mutation in the _PROTEIN_ gene is infrequent and little is known about its cognitive profile.	PMID:31423897	anoctamin 10	PR:000004056	[[109..121]]	Autosomal recessive spinocerebellar ataxia type 10	MONDO:0013392	[[0..50]]	null	189	Y	Autosomal recessive spinocerebellar ataxia type 10 (SCAR10) caused by a homozygous c.132dupA mutation in the anoctamin 10 gene is infrequent and little is known about its cognitive profile.	Cognitive characterization of SCAR10 caused by a homozygous c.132dupA mutation in the ANO10 gene.||||||||Autosomal recessive spinocerebellar ataxia type 10 (SCAR10) caused by a homozygous c.132dupA mutation in the anoctamin 10 gene is infrequent and little is known about its cognitive profile. Three siblings (1 male) with this mutation were assessed with a neuropsychological battery measuring multiple cognitive domains. The deficits observed in one patient were in executive functions whereas the other two patients showed deficits in practically all the functions. Cognitive impairment seems to be a characteristic of the SCAR10 produced by this mutation, with a range from mild impairment, especially involving prefrontal systems, to a severe cognitive impairment suggesting widespread cerebral involvement.
0ddf980ec6094ce29a821e7b406cee7e014cec9e3d89260d9f75f943627e5743	BACKGROUND Familial adenomatous polyposis (FAP), which has a very high tendency of progression to _DISEASE_, is mainly caused by mutations of the adenomatous polyposis coli (_PROTEIN_) gene.	PMID:31113927	APC	PR:000004122	[[182..185]]	colorectal cancer	MONDO:0005575	[[98..115]]	null	192	Y	BACKGROUND Familial adenomatous polyposis (FAP), which has a very high tendency of progression to colorectal cancer, is mainly caused by mutations of the adenomatous polyposis coli (APC) gene.	Adenomatous Polyposis Coli Gene Mutations in 22 Chinese Pedigrees with Familial Adenomatous Polyposis.||||||||BACKGROUND Familial adenomatous polyposis (FAP), which has a very high tendency of progression to colorectal cancer, is mainly caused by mutations of the adenomatous polyposis coli (APC) gene. This study systematically screened the APC mutations and observed the correlation of APC mutations with clinical manifestations of FAP. MATERIAL AND METHODS Eighty subjects (probands and their family members of 22 FAP pedigrees) were enrolled, underwent abdominal ultrasound, computed tomography, and colonoscopic examinations, and were assessed for APC mutations between January 2010 and June 2015 at Tianjin Union Medical Center. Peripheral blood was collected from subjects, and DNA was extracted and screened for APC mutations using multiplex ligation-dependent probe amplification for large-fragment deletions or PCR-denaturing high-performance liquid chromatography with DNA sequencing for micromutations. RESULTS Nineteen of 22 FAP pedigrees were found to have mutations of APC, and 17 types APC mutations were identified. All the mutations were heterozygosity with autosomal dominant inheritance. APC mutations included 8 caused by frameshift, 3 by aberrant splicing, 2 by missense mutation, 2 by nonsense mutation, and 2 by large-fragment deletion. Frameshift mutation was the most common type of APC mutation, and Coding DNA Sequence 15 was the most common mutation site. Five novel APC mutations, including 1 with large-fragment deletion, were identified. CONCLUSIONS We systematically screened 17 mutations of APC from 22 Chinese pedigrees with FAP. This study will broaden the spectrum of known APC germline mutations and help understand the types and distribution of APC mutations among Chinese patients with FAP.
3bbae4f67429d1c21fa99b075e7d74a3e362dc748943f86224faf1bd12d13857	BACKGROUND _DISEASE_ (SGS) is an extremely rare collagenopathy, most often caused by autosomal-dominant mutations in the SKI proto-oncogene, which is a component of the _PROTEIN_ (TGF-?) signaling pathway.	PMID:31391415	transforming growth factor beta	PR:000000046	[[188..219]]	Shprintzen-Goldberg syndrome	MONDO:0008426	[[11..39]]	null	246	Y	BACKGROUND Shprintzen-Goldberg syndrome (SGS) is an extremely rare collagenopathy, most often caused by autosomal-dominant mutations in the SKI proto-oncogene, which is a component of the transforming growth factor beta (TGF-?) signaling pathway.	Complications of Insufficient Dura and Blood Loss During Surgical Intervention in Shprintzen-Goldberg Syndrome: A Case Report.||||||||BACKGROUND Shprintzen-Goldberg syndrome (SGS) is an extremely rare collagenopathy, most often caused by autosomal-dominant mutations in the SKI proto-oncogene, which is a component of the transforming growth factor beta (TGF-ß) signaling pathway. Approximately 50-60 cases of SGS have been recorded in the literature worldwide since its discovery in 1982. This collagen disorder affects bone and vascular development throughout the body, resulting in craniosynostosis, scoliosis, chest deformities, and aortic root dilation. Patients may have problems in the central nervous system, including Chiari 1 malformation, hydrocephalus, and dilation of the lateral ventricles. Unfortunately, the symptoms of SGS closely parallel those of related collagenopathies involving mutations in the TGF-ß signaling pathway, which makes accurate diagnosis difficult without genetic testing, especially in cases with complex presentation. CASE REPORT In this report we present the unique and complex disease manifestations in a 9-year-old girl with SGS. The patient had severe cervical spinal instability that resolved after surgical occipital-C4 fusion with an autograft from the rib. Midface distraction surgery was used to treat the patient's craniosynostosis and related facial deformities. This surgery was complicated by loss of 750 mL of blood due to insufficient dura and prominent vasculature. CONCLUSIONS Connective tissue symptoms associated with SGS can involve dural and vascular problems, as seen in this case report. Thus, the risk of extreme blood loss should be anticipated any time midface distraction surgery is performed on an SGS patient. Continued research is needed to define how this case relates to the SGS patient population.
0d452d51a9e5ba63c78033bb14d33595f12f892be39fdd6d68f164d7d5016f47	Becker's _DISEASE_ is an inherited muscular dystrophy caused by mutations in the gene coding for the dystrophin protein that leads to quantitative and/or qualitative _PROTEIN_ dysfunction and consequent muscle degeneration.	PMID:31646922	protein	PR:000000001	[[164..171]]	disease	MONDO:0000001	[[9..16]]	null	219	Y	Becker's disease is an inherited muscular dystrophy caused by mutations in the gene coding for the dystrophin protein that leads to quantitative and/or qualitative protein dysfunction and consequent muscle degeneration.	Motor activity and Becker's muscular dystrophy: lights and shadows.||||||||Becker's disease is an inherited muscular dystrophy caused by mutations in the gene coding for the dystrophin protein that leads to quantitative and/or qualitative protein dysfunction and consequent muscle degeneration. Studies in animal models demonstrate that, while eccentric or high-intensity training are deleterious for dystrophic muscles, low-intensity aerobic training may slowdown the disease process and progression. Based on these preclinical data, the available studies in patients with Becker's muscular dystrophy undergoing workout on a cycle ergometer or on a treadmill, at a heart rate ≤65% of their maximal oxygen uptake, showed that aerobic exercise counteracts physical deterioration and loss of functional abilities. These findings suggest an improvement of physical performance through an increase of muscle strength, fatigue resistance, and dexterity capacities, without substantial evidence of acceleration of muscular damage progression. Therefore, individually tailored mild-to-moderate intensity aerobic exercise should be considered as part of the management of these patients. However, further research is necessary to define specific and standardized guidelines for the prescription of type, intensity, frequency, and duration of motor activities. In this review, we provided a summary of the impact of physical activity both in animal models and in patients with Becker's muscular dystrophy, with the intent to identify trends and gaps in knowledge. The potential therapeutic implications and future research directions have been also highlighted.
9f256189d08d8769f383f4d9b1e802815606ae078d398d7e4e3bb9e8d30a84c0	Blepharophimosis-_DISEASE_-epicanthus inversus syndrome (BPES) is an autosomal dominant entity characterized by eyelid malformations and caused by mutations in the forkhead box L2 (_PROTEIN_) gene.	PMID:31048069	FOXL2	PR:000007634	[[178..183]]	ptosis	MONDO:0000728	[[17..23]]	null	190	Y	Blepharophimosis-ptosis-epicanthus inversus syndrome (BPES) is an autosomal dominant entity characterized by eyelid malformations and caused by mutations in the forkhead box L2 (FOXL2) gene.	Clinical characterization and identification of five novel FOXL2 pathogenic variants in a cohort of 12 Mexican subjects with the syndrome of blepharophimosis-ptosis-epicanthus inversus.||||||||Blepharophimosis-ptosis-epicanthus inversus syndrome (BPES) is an autosomal dominant entity characterized by eyelid malformations and caused by mutations in the forkhead box L2 (FOXL2) gene. Clinical and genetic analyses of large cohorts of BPES patients from different ethnic origins are important for a better characterization of FOXL2 mutational landscape. The purpose of this study is to describe the phenotypic features and the causal FOXL2 variants in a Mexican cohort of BPES patients. A total of 12 individuals with typical facial findings were included. Clinical evaluation included palpebral measurements and levator function assessment. The complete coding sequence of FOXL2 was amplified by PCR and subsequently analyzed by Sanger sequencing. A total of 11 distinct FOXL2 pathogenic variants were identified in our cohort (molecular diagnostic rate of 92%), including 5 novel mutations. Our results broaden the BPES-related mutational spectrum and supports considerable FOXL2 allelic heterogeneity in our population.
0aff4147709f81222347505eec56e450b7ea7554c0107c871cda4a31724849b0	Brain microvascular endothelial dysfunction with increased permeability to monocytes has been described in X?linked adrenoleukodystrophy, one of the most common _DISEASE_ caused by mutations of the ATP binding cassette subfamily D member 1 (_PROTEIN_) gene.	PMID:31257461	ABCD1	PR:000001994	[[253..258]]	peroxisomal disorders	MONDO:0019053	[[161..182]]	null	265	Y	Brain microvascular endothelial dysfunction with increased permeability to monocytes has been described in X?linked adrenoleukodystrophy, one of the most common peroxisomal disorders caused by mutations of the ATP binding cassette subfamily D member 1 (ABCD1) gene.	SIRT1 activation alleviates brain microvascular endothelial dysfunction in peroxisomal disorders.||||||||Peroxisomal disorders are genetically heterogeneous metabolic disorders associated with a deficit of very long chain fatty acid β‑oxidation that commonly manifest as early‑onset neurodegeneration. Brain microvascular endothelial dysfunction with increased permeability to monocytes has been described in X‑linked adrenoleukodystrophy, one of the most common peroxisomal disorders caused by mutations of the ATP binding cassette subfamily D member 1 (ABCD1) gene. The present study demonstrated that dysregulation of sirtuin 1 (SIRT1) in human brain microvascular endothelial cells (HBMECs) mediates changes in adhesion molecules and tight‑junction protein expression, as well as increased adhesion to monocytes associated with peroxisomal dysfunction due to ABCD1 or hydroxysteroid 17‑β dehydrogenase 4 silencing. Furthermore, enhancement of the function of SIRT1 by resveratrol attenuated this molecular and functional dysregulation of HBMECs via modulation of the nuclear factor‑κB and Krüppel‑like factor 4 signaling pathways.
